"timestep","pft","num_agents"
62,"cyano",4.4
63,"cyano",4.6
64,"cyano",4.5
65,"cyano",4.6
66,"cyano",4.5
67,"cyano",4.4
68,"cyano",4.4
69,"cyano",4.3
70,"cyano",4.4
71,"cyano",4.3
72,"cyano",4.25
73,"cyano",4.2
74,"cyano",4.15
75,"cyano",4.2
76,"cyano",4.25
77,"cyano",4.25
78,"cyano",4.25
79,"cyano",4.2
80,"cyano",4.4
81,"cyano",4.2
82,"cyano",4.1
83,"cyano",4.1
84,"cyano",4.15
85,"cyano",4.1
86,"cyano",4.05
87,"cyano",3.8
88,"cyano",3.9
89,"cyano",4.05
90,"cyano",4
91,"cyano",3.95
92,"cyano",3.85
93,"cyano",4.05
94,"cyano",4.05
95,"cyano",4.05
96,"cyano",4.1
97,"cyano",3.95
98,"cyano",4.05
99,"cyano",4
100,"cyano",3.8
101,"cyano",3.65
102,"cyano",3.9
103,"cyano",4
104,"cyano",3.95
105,"cyano",4.05
106,"cyano",4
107,"cyano",4
108,"cyano",4.15
109,"cyano",4.05
110,"cyano",3.95
111,"cyano",4.1
112,"cyano",4.1
113,"cyano",4.15
114,"cyano",4.2
115,"cyano",4.2
116,"cyano",4.05
117,"cyano",3.9
118,"cyano",3.8
119,"cyano",3.8
120,"cyano",3.95
121,"cyano",3.9
122,"cyano",4.05
123,"cyano",4
124,"cyano",4
125,"cyano",3.9
126,"cyano",4.1
127,"cyano",3.85
128,"cyano",3.9
129,"cyano",3.9
130,"cyano",3.9
131,"cyano",4
132,"cyano",4.15
133,"cyano",4.15
134,"cyano",4.05
135,"cyano",3.95
136,"cyano",4.05
137,"cyano",4.05
138,"cyano",4.05
139,"cyano",4.1
140,"cyano",4.2
141,"cyano",4.2
142,"cyano",3.95
143,"cyano",3.9
144,"cyano",3.85
145,"cyano",3.95
146,"cyano",4.05
147,"cyano",4.15
148,"cyano",4.1
149,"cyano",3.95
150,"cyano",3.95
151,"cyano",3.75
152,"cyano",3.8
153,"cyano",3.7
154,"cyano",3.7
155,"cyano",3.7
156,"cyano",3.65
157,"cyano",3.75
158,"cyano",3.85
159,"cyano",3.9
160,"cyano",3.8
161,"cyano",3.7
162,"cyano",3.7
163,"cyano",3.85
164,"cyano",3.95
165,"cyano",3.95
166,"cyano",4
167,"cyano",4.05
168,"cyano",4.05
169,"cyano",4.1
170,"cyano",4.05
171,"cyano",3.85
172,"cyano",4
173,"cyano",3.75
174,"cyano",3.9
175,"cyano",3.8
176,"cyano",3.95
177,"cyano",4.1
178,"cyano",3.95
179,"cyano",4
180,"cyano",4.15
181,"cyano",4
182,"cyano",4.15
183,"cyano",4.1
184,"cyano",4
185,"cyano",4.05
186,"cyano",4.15
187,"cyano",3.9
188,"cyano",4
189,"cyano",4.1
190,"cyano",4.15
191,"cyano",4.1
192,"cyano",4.1
193,"cyano",4.05
194,"cyano",4
195,"cyano",3.95
196,"cyano",3.8
197,"cyano",3.9
198,"cyano",4
199,"cyano",3.95
200,"cyano",4.2
201,"cyano",4.25
202,"cyano",4.45
203,"cyano",4.3
204,"cyano",4.2
205,"cyano",4.3
206,"cyano",4.15
207,"cyano",4.1
208,"cyano",4.15
209,"cyano",4.1
210,"cyano",4.05
211,"cyano",4
212,"cyano",4
213,"cyano",4.05
214,"cyano",3.95
215,"cyano",4.1
216,"cyano",4.25
217,"cyano",4.15
218,"cyano",4.15
219,"cyano",4.25
220,"cyano",4.35
221,"cyano",4.55
222,"cyano",4.55
223,"cyano",4.45
224,"cyano",4.4
225,"cyano",4.6
226,"cyano",4.6
227,"cyano",4.6
228,"cyano",4.65
229,"cyano",4.75
230,"cyano",4.85
231,"cyano",4.85
232,"cyano",4.85
233,"cyano",4.85
234,"cyano",4.75
235,"cyano",4.85
236,"cyano",4.85
237,"cyano",5.05
238,"cyano",5.05
239,"cyano",5.15
240,"cyano",5.15
241,"cyano",5.05
242,"cyano",5.1
243,"cyano",5.1
244,"cyano",5.3
245,"cyano",5.1
246,"cyano",5.05
247,"cyano",4.9
248,"cyano",4.95
249,"cyano",4.85
250,"cyano",4.8
251,"cyano",4.95
252,"cyano",5.05
253,"cyano",5.15
254,"cyano",5.2
255,"cyano",5.15
256,"cyano",5.35
257,"cyano",5.4
258,"cyano",5.3
259,"cyano",5.2
260,"cyano",5.05
261,"cyano",5
262,"cyano",5.05
263,"cyano",5.15
264,"cyano",5.1
265,"cyano",5.05
266,"cyano",4.9
267,"cyano",4.9
268,"cyano",5
269,"cyano",5.1
270,"cyano",5.2
271,"cyano",5.35
272,"cyano",5.15
273,"cyano",5.15
274,"cyano",5.1
275,"cyano",5.15
276,"cyano",5.35
277,"cyano",5.4
278,"cyano",5.35
279,"cyano",5.45
280,"cyano",5.35
281,"cyano",5.3
282,"cyano",5.3
283,"cyano",5.3
284,"cyano",5.1
285,"cyano",5.05
286,"cyano",5.15
287,"cyano",4.9
